qid,docid
1,184
1,29
1,31
1,57
1,378
2,12
2,746
2,15
2,184
2,858
3,5
3,6
3,90
3,91
3,119
8,48
8,122
8,354
8,360
8,1005
10,259
10,405
10,302
10,436
10,437
19,32
19,67
19,164
19,639
19,715
20,87
20,88
20,104
20,267
20,268
23,900
23,902
23,200
23,201
23,601
25,213
25,212
25,214
25,215
25,216
26,145
26,611
26,376
26,406
26,565
29,250
29,514
29,609
29,612
29,225
30,225
30,464
30,514
30,466
30,609
34,252
34,431
34,672
34,714
34,799
37,173
37,188
37,172
37,97
37,121
38,24
38,283
38,552
38,553
38,554
39,272
39,555
39,24
39,283
39,552
40,24
40,283
40,552
40,553
40,554
43,467
43,468
43,469
43,39
43,503
45,305
45,570
45,308
45,481
45,338
46,305
46,338
46,344
46,481
46,623
47,304
47,306
47,307
47,309
47,310
48,439
48,311
48,316
48,440
48,797
51,94
51,23
51,105
51,381
51,494
54,84
54,24
54,101
54,294
54,364
55,16
55,375
55,460
55,562
55,378
62,566
62,567
62,1084
62,1078
62,1081
65,2
65,3
65,128
65,664
65,629
66,664
66,629
66,180
66,659
66,660
67,2
67,3
67,128
67,180
67,664
68,662
68,101
68,460
68,661
68,62
70,333
70,568
70,570
70,62
70,101
71,569
71,571
71,572
71,1355
71,101
72,21
72,324
72,630
72,94
72,664
73,332
73,572
73,578
73,401
73,625
75,667
75,324
75,378
75,666
75,670
76,378
76,667
76,324
76,666
76,670
82,676
82,677
82,678
82,679
82,205
84,606
84,406
84,608
84,142
84,294
88,613
88,614
88,615
88,616
88,617
90,794
90,797
90,798
90,256
90,793
91,252
91,801
91,797
91,799
91,800
92,802
92,803
92,808
92,809
92,811
94,24
94,283
94,294
94,559
94,1393
96,703
96,704
96,705
96,1289
96,779
97,699
97,700
97,701
97,702
97,703
100,821
100,822
100,824
100,1122
100,820
101,817
101,818
101,819
101,824
101,820
104,833
104,834
104,835
104,836
104,837
108,724
108,726
108,727
108,75
108,909
109,860
109,861
109,606
109,980
109,12
111,15
111,391
111,864
111,914
111,392
120,829
120,887
120,890
120,1146
120,885
121,885
121,886
121,887
121,888
121,890
122,932
122,936
122,937
122,938
122,957
125,969
125,970
125,971
125,972
125,174
126,974
126,1326
126,187
126,969
126,970
129,985
129,987
129,984
129,988
129,989
130,766
130,858
130,859
130,1008
130,12
131,1014
131,1020
131,1013
131,1016
131,1017
132,1014
132,1013
132,1015
132,1016
132,1017
141,1038
141,1041
141,1043
141,1044
141,1039
144,840
144,1045
144,763
144,838
144,839
145,763
145,838
145,839
145,841
145,1045
147,889
147,1046
147,1048
147,1050
147,843
148,889
148,1048
148,1050
148,1046
148,1049
149,1057
149,1058
149,1059
149,930
149,931
152,1076
152,1077
152,569
152,572
152,655
155,1103
155,1100
155,983
155,1101
155,1104
156,983
156,1102
156,1104
156,1097
156,1100
157,273
157,1105
157,1106
157,1107
157,556
158,302
158,1011
158,552
158,998
158,1009
159,234
159,1108
159,1110
159,1111
159,1112
162,111
162,155
162,458
162,459
162,460
164,311
164,415
164,416
164,798
164,1364
166,40
166,41
166,74
166,207
166,272
170,139
170,238
170,239
170,904
170,906
175,351
175,966
175,967
175,964
175,965
176,582
176,583
176,586
176,982
176,584
181,973
181,974
181,409
181,997
181,1061
183,803
183,808
183,809
183,802
183,807
184,32
184,67
184,715
184,716
184,499
185,858
185,859
185,857
185,766
185,1008
186,1309
186,1378
186,923
186,924
186,1062
187,838
187,839
187,840
187,842
187,1045
188,721
188,722
188,723
188,725
188,728
